ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Strathisla 15 Year Old,399.0,75,0.4,532 per litre
 Blair Athol 12 Year Old,399.0,70,0.43,570 per litre
 Speyside 1991,399.0,75,0.43,532 per litre
 Lagavulin 1995,425.0,70,0.48,607.14 per litre
 Highland Park 1973,425.0,70,0.43,607.14 per litre
 Strathisla 8 Year Old,425.0,75,0.57,566.67 per litre
 Glenturret 7 Year Old,425.0,75,0.43,566.67 per litre
 Balvenie 8 Year Old,450.0,75,0.4,600 per litre
Glen Ord 28 Year Old,450.0,70,0.58,642.86 per litre
 Glenrothes 8 Year Old,450.0,75,0.4,600 per litre
 Aultmore 12 Year Old,450.0,75,0.4,600 per litre
 Talisker 10 Year Old,450.0,100,0.46,
 Aberlour 8 Year Old,450.0,75,0.5,600 per litre
 Glen Elgin 14 Year Old,450.0,75,0.43,600 per litre
 Laphroaig 10 Year Old Cask Strength,450.0,70,0.58,642.86 per litre
 Tormore 10 Year Old,450.0,75,0.43,600 per litre
 Talisker 25 Year Old,450.0,70,0.46,642.86 per litre
 Glenfarclas 105,450.0,70,0.6,642.86 per litre
 Ardbeg 1999 Galileo,450.0,70,0.49,642.86 per litre
 North Port 1970,450.0,75,0.4,600 per litre
 Glenesk 1984,450.0,70,0.43,642.86 per litre
 Ardbeg 1999 Galileo,450.0,75,0.49,600 per litre
 Banff 1974,450.0,75,0.4,600 per litre
 Dalwhinnie 8 Year Old,450.0,75,0.4,600 per litre
 Clynelish 18 Year Old,450.0,70,0.51,642.86 per litre
 Springbank 10 Year Old,450.0,70,0.46,642.86 per litre
 Springbank 1995,450.0,70,0.46,642.86 per litre
 Talisker 25 Year Old,450.0,70,0.46,642.86 per litre
 Rosebank 1990,450.0,70,0.46,642.86 per litre
 Glenfarclas 8 Year Old,450.0,75.7,0.4,594.45 per litre
 Glen Moray 1982,450.0,70,0.56,642.86 per litre
 Glen Moray 1986,450.0,75,0.61,600 per litre
 Mannochmore 1982,450.0,75,0.68,600 per litre
 Tomatin 1965,450.0,70,0.46,642.86 per litre
 Tomatin 1976,450.0,70,0.46,642.86 per litre
 Tomatin 1976,450.0,70,0.46,642.86 per litre
 Knockando 1972,450.0,75,0.43,600 per litre
 Knockando 1975,450.0,70,0.43,642.86 per litre
 Glenrothes 8 Year Old,450.0,75.7,0.4,594.45 per litre
 Knockando 1966,450.0,75,0.43,600 per litre
 Lochside 1981,450.0,70,0.46,642.86 per litre
 Glenmorangie Finealta,475.0,70,0.46,678.57 per litre
 Dailuaine 1980,475.0,70,0.51,678.57 per litre
 Bowmore 12 Year Old,475.0,75,0.4,633.33 per litre
 Bruichladdich Centenary (1881-1981),499.0,75,0.43,665.33 per litre
 Dufftown-Glenlivet 8 Year Old,499.0,75,0.46,665.33 per litre
 Highland Park Freya,499.0,70,0.51,712.86 per litre
 Cardhu 8 Year Old,500.0,75,0.43,666.67 per litre
