ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Cardhu 12 Year Old,42.95,70,0.4,61.36 per litre
Scapa Glansa,42.95,70,0.4,61.36 per litre
Tamdhu 12 Year Old,42.95,70,0.43,61.36 per litre
Loch Lomond 12 Year Old Gift Set,42.95,70,0.46,61.36 per litre
 Linkwood 2008,42.95,70,0.46,61.36 per litre
Inchmurrin 12 Year Old,42.95,70,0.46,61.36 per litre
 Glendullan 2007,42.95,70,0.46,61.36 per litre
 Cask Islay,42.95,70,0.59,61.36 per litre
Glendronach 12 Year Old Original,43.45,70,0.43,62.07 per litre
Bunnahabhain Toiteach A Dha,43.45,70,0.46,62.07 per litre
Spey Fumare,43.75,70,0.46,62.50 per litre
Balblair 12 Year Old,43.75,70,0.46,62.50 per litre
 Caol ila 2011,43.75,70,0.46,62.50 per litre
Balvenie 12 Year Old DoubleWood,43.95,70,0.4,62.79 per litre
Glen Garioch 12 Year Old,43.95,70,0.48,62.79 per litre
Macallan Double Cask Gold,43.95,70,0.4,62.79 per litre
Glenturret Sherry Edition,43.95,70,0.43,62.79 per litre
Glenturret Triple Wood,43.95,70,0.43,62.79 per litre
Inchmoan 12 Year Old,43.95,70,0.46,62.79 per litre
Ardbeg An Oa,43.95,70,0.47,62.79 per litre
Kilchoman Machir Bay,43.95,70,0.46,62.79 per litre
Old Pulteney Huddart,43.95,70,0.46,62.79 per litre
Glenglassaugh Torfa,44.25,70,0.5,63.21 per litre
 Arran Machrie Moor,44.25,70,0.46,63.21 per litre
 Glenfiddich IPA Cask,39.95,70,0.43,57.07 per litre
Inchmoan 12 Year Old,44.45,70,0.46,63.50 per litre
Caol Ila 12 Year Old,44.95,70,0.43,64.21 per litre
 Glenfiddich 15 Year Old,44.95,70,0.4,64.21 per litre
Bunnahabhain 12 Year Old,39.95,70,0.46,57.07 per litre
Cardhu Amber Rock,44.95,70,0.4,64.21 per litre
 Benromach 10 Year Old,44.95,70,0.43,64.21 per litre
Glen Grant 12 Year Old,44.95,70,0.43,64.21 per litre
Jura 12 Year Old,44.95,70,0.4,64.21 per litre
 Balvenie 12 Year Old,41.95,70,0.43,59.93 per litre
 Tomatin 2010,44.95,70,0.46,64.21 per litre
 Tamnavulin Sherry Edition,44.95,100,0.4,
 Mortlach 2007,45.25,70,0.46,64.64 per litre
 Glenfiddich Project XX,45.45,70,0.47,64.93 per litre
Tomintoul 14 Year Old,45.45,70,0.46,64.93 per litre
