ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Miltonduff 1999,110.0,70,0.51,157.14 per litre
 Benriach 2007,110.0,70,0.59,157.14 per litre
 Glen Spey 2001,110.0,70,0.55,157.14 per litre
Tomintoul 21 Year Old,115.0,70,0.4,164.29 per litre
 Caperdonich 18 Year Old Peated,115.0,70,0.48,164.29 per litre
Benriach 21 Year Old Classic,118.0,70,0.46,168.57 per litre
 Aberlour 18 Year Old,94.95,50,0.43,189.90 per litre
 Macallan Amber,120.0,70,0.4,171.43 per litre
Aberlour A'Bunadh Batch 59,120.0,70,0.61,171.43 per litre
 Glen Moray 21 Year Old,120.0,70,0.46,171.43 per litre
 Glenburgie 1998,120.0,70,0.55,171.43 per litre
 Mortlach 15 Year Old,84.95,70,0.46,121.36 per litre
 Benriach 2005,120.0,70,0.53,171.43 per litre
 Aberlour 2003,120.0,50,0.59,240 per litre
 Glenrothes 2008,120.0,70,0.62,171.43 per litre
Glen Grant 18 Year Old,123.0,70,0.43,175.71 per litre
 Allt-a-Bhainne 1997,123.0,70,0.51,175.71 per litre
Benriach 20 Year Old,125.0,70,0.43,178.57 per litre
 Cardhu 12 Year Old,125.0,75,0.4,166.67 per litre
Glenfarclas 25 Year Old,125.0,70,0.43,178.57 per litre
 Glenrothes 1995,125.0,70,0.43,178.57 per litre
 Glenrothes 1995,125.0,75,0.43,166.67 per litre
 Dailuaine 1997,125.0,70,0.54,178.57 per litre
 Inchgower 1998,125.0,70,0.52,178.57 per litre
Benromach 21 Year Old,125.0,70,0.43,178.57 per litre
 Longmorn 2002,128.0,70,0.54,182.86 per litre
 Glenfiddich 21 Year Old,130.0,70,0.4,185.71 per litre
 Benriach 21 Year Old,130.0,70,0.46,185.71 per litre
Glen Grant 18 Year Old + 2 Glasses Pack,130.0,70,0.43,185.71 per litre
Compass Box Myths and Legends II,130.0,70,0.46,185.71 per litre
 Longmorn 1999,130.0,50,0.55,260 per litre
 Dailuaine 1997,132.0,70,0.46,188.57 per litre
 Inchgower 1997,134.0,70,0.6,191.43 per litre
 Glentauchers 1997,135.0,70,0.55,192.86 per litre
Personalised 21 Year Old Scotch Whisky,135.0,70,0.49,192.86 per litre
 Longmorn 2002,135.0,70,0.56,192.86 per litre
 Glentauchers 1997,135.0,70,0.49,192.86 per litre
 Glen Keith 1997,137.0,70,0.55,195.71 per litre
Benriach 21 Year Old Temporis Peated,138.0,70,0.46,197.14 per litre
 Strathmill 1996,139.0,70,0.58,198.57 per litre
 Cragganmore 1999,140.0,70,0.56,200 per litre
 Glenallachie 1996,141.0,70,0.55,201.43 per litre
 Allt-a-Bhainne 1996,143.0,70,0.51,204.29 per litre
 Glen Elgin 1995,145.0,70,0.51,207.14 per litre
 Glen Grant 1995,145.0,70,0.48,207.14 per litre
 Benrinnes 1996,147.0,70,0.53,210 per litre
 Glen Grant 25 Year Old,150.0,70,0.4,214.29 per litre
 Glenfiddich 19 Year Old,150.0,70,0.4,214.29 per litre
 Benrinnes 21 Year Old,150.0,70,0.5,214.29 per litre
 Glenfarclas 25 Year Old,150.0,70,0.51,214.29 per litre
 20 Year Old Speyside Cognac Finish,150.0,70,0.47,214.29 per litre
 Cardhu 2004,150.0,70,0.55,214.29 per litre
 Glen Elgin 1995,150.0,70,0.49,214.29 per litre
 Secret Speyside 1994,150.0,70,0.5,214.29 per litre
 Allt-a-Bhainne 1998,150.0,50,0.48,300 per litre
Benriach 22 Year Old Dunder,155.0,70,0.46,221.43 per litre
 Benriach 22 Year Old,155.0,70,0.46,221.43 per litre
 Glentauchers 1992,155.0,70,0.51,221.43 per litre
 Glenburgie 1995,155.0,70,0.6,221.43 per litre
 Glenburgie 1995,155.0,70,0.53,221.43 per litre
 Glen Elgin 1995,155.0,70,0.48,221.43 per litre
